alpha=a/M,r_ph/M,r_ISCO/M,b_shadow/M,ell/M
0.12131363805276849,2.47793278553905,4.849700434491443,4.518834813018899,0.029877856875356486
0.1222829183698749,2.473384333749304,4.83991036094577,4.512951686605637,0.030236651512390574
0.1232521986869813,2.468828138810975,4.830108020064745,4.507059094867015,0.030596870982083173
0.1242214790040877,2.464264143039434,4.820293322751235,4.501156974203721,0.030958509670701826
0.1251907593211941,2.4596922880246304,4.8104661788541,4.495245260284598,0.031321562030349165
0.1261600396383005,2.455112514618231,4.800626497150736,4.489323888034638,0.031686022577686074
0.1271293199554069,2.4505247629204696,4.790774185329208,4.483392791622736,0.03205188589268934
0.12809860027251332,2.445928972266675,4.780909149970106,4.477451904449165,0.03241914661744232
0.1290678805896197,2.4413250812135088,4.771031296527891,4.471501159132797,0.03278779945495789
0.13003716090672612,2.436713027524874,4.761140529311902,4.465540487498039,0.03315783916803232
0.13100644122383254,2.432092748157477,4.751236751466947,4.459569820561473,0.03352926057812905
0.13197572154093892,2.4274641792460967,4.741319864953455,4.453589088518231,0.033902058564291515
0.13294500185804534,2.4228272560884316,4.731389770527191,4.447598220728045,0.03427622806208397
0.13391428217515175,2.418181913129674,4.721446367718527,4.441597145700997,0.03465176406255927
0.13488356249225814,2.4135280839466273,4.711489554811268,4.435585791082958,0.035028661611252995
0.13585284280936455,2.4088657012315116,4.701519228820966,4.429564083640686,0.03540691580720289
0.13682212312647096,2.404194696775362,4.691535285472798,4.4235319492466125,0.035786521801992724
0.13779140344357735,2.3995150014509674,4.681537619178916,4.417489312863251,0.03616747479882004
0.13876068376068376,2.394826545195481,4.67152612301524,4.411436098527298,0.036549770051586855
0.13972996407779018,2.3901292569925428,4.661500688697893,4.40537222933332,0.036933402864012574
0.14069924439489656,2.385423064853974,4.65146120655882,4.399297627417115,0.03731836858876852
0.14166852471200297,2.380707895801032,4.641407565521132,4.393212213938646,0.03770466262663347
0.1426378050291094,2.3759836758451858,4.631339653073671,4.387115909064608,0.038092280425669194
0.14360708534621577,2.3712503299683902,4.621257355245081,4.381008631950584,0.038481217480415934
0.1445763656633222,2.366507782102908,4.611160556577309,4.374890300722769,0.03887146933110673
0.1455456459804286,2.3617559551105773,4.601049140098334,4.368760832459279,0.03926303156290023
0.146514926297535,2.356994770761557,4.590922987294453,4.362620143171005,0.0396558998051315
0.1474842066146414,2.3522241497125576,4.5807819780817285,4.3564681477820235,0.04005006973058014
0.1484534869317478,2.347444011484466,4.57062599077687,4.350304760109522,0.04044553705475529
0.1494227672488542,2.342654274439414,4.560454902067372,4.344129892843257,0.040842297535196956
0.1503920475659606,2.3378548557572523,4.550268586980958,4.337943457524495,0.041240346970793346
0.15136132788306703,2.333045671411386,4.5400669188542455,4.331745364524463,0.04163968120111347
0.1523306082001734,2.328226636143968,4.529849769300681,4.325535523022251,0.04204029610575481
0.15329988851727983,2.3233976634404883,4.519617008177692,4.319313840982185,0.04244218760370561
0.15426916883438624,2.3185586655035992,4.509368503552977,4.313080225130627,0.04284535165272112
0.15523844915149262,2.313709553226299,4.499104121670067,4.306834580932201,0.04324978424871372
0.15620772946859904,2.308850236164356,4.488823726912897,4.3005768125654305,0.043655481425156434
0.15717700978570545,2.303980622508023,4.478527181769608,4.294306822897744,0.044062439252499225
0.15814629010281184,2.2991006190528984,4.468214346795382,4.288024513459869,0.04447065383759805
0.15911557041991825,2.294210131170081,4.457885080574292,4.281729784419554,0.044880121323156275
0.16008485073702466,2.289309062775427,4.447539239680317,4.275422534554618,0.045290837887177714
0.16105413105413105,2.284397316297959,4.437176678637199,4.269102661225323,0.04570279974243159
0.16202341137123746,2.2794747926474233,4.426797249877398,4.2627700603459955,0.046116003135928625
0.16299269168834388,2.274541391180891,4.416400803699889,4.256424626355941,0.04653044434840817
0.16396197200545026,2.26959700966842,4.40598718822691,4.250066252189572,0.0469461196938359
0.16493125232255668,2.264641544257751,4.395556249359574,4.243694829245744,0.04736302551891221
0.1659005326396631,2.2596748894379575,4.385107830732308,4.237310247356295,0.04778115820259036
0.16686981295676948,2.254696938002065,4.3746417736660765,4.230912394753723,0.04820051415560478
0.1678390932738759,2.2497075810085696,4.364157917120354,4.224501158037997,0.048621089820008866
0.1688083735909823,2.244706707741829,4.353656097643824,4.218076422142475,0.04904288166872214
0.1697776539080887,2.239694205671269,4.343136149323754,4.211638070298885,0.04946588620508648
0.1707469342251951,2.234669960409405,4.332597903733976,4.205185984001344,0.04989009996243138
0.17171621454230152,2.2296338556685633,4.322041189881451,4.198720042969385,0.05031551950364763
0.1726854948594079,2.2245857732163463,4.311465834151413,4.192240125109956,0.05074214142076964
0.17365477517651431,2.2195255928296977,4.300871660250875,4.18574610647835,0.05116996233456594
0.17462405549362073,2.2144531922476,4.290258489150731,4.179237861238038,0.05159897889413751
0.1755933358107271,2.209368447122285,4.279626139026105,4.172715261619366,0.052029187776524176
0.17656261612783353,2.2042712309689665,4.268974425195077,4.16617817787706,0.05246058568631853
0.17753189644493994,2.199161415113968,4.2583031600556716,4.159626478246516,0.05289316935528713
0.17850117676204633,2.194038868641233,4.2476121530210635,4.153060028898846,0.05332693554199921
0.17947045707915274,2.1889034583371627,4.236901210452849,4.146478693894558,0.05376188103146227
0.18043973739625913,2.1837550486336554,4.226170135592511,4.139882335135944,0.05419800263476458
0.18140901771336554,2.1785935015493596,4.215418728490789,4.133270812318018,0.05463529718872457
0.18237829803047195,2.1734186766289882,4.204646785935033,4.126643982878004,0.05507376155554651
0.18334757834757834,2.168230430880688,4.193854101374428,4.120001701943326,0.05551339262248286
0.18431685866468475,2.1630286187113135,4.1830404648429536,4.113343822278001,0.0559541873015028
0.18528613898179117,2.1578130918596337,4.172205662880109,4.106670194227432,0.05639614252896675
0.18625541929889755,2.1525836993272125,4.1613494784492095,4.099980665661499,0.056839255265307025
